@relation 'german_credit-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replacecredit-Rlast-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc5-Rlast-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc9-Rlast-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc19-Rlast-weka.filters.unsupervised.attribute.Discretize-B20-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDiscPKIDiscretize-Rlast-weka.filters.unsupervised.attribute.PKIDiscretize-Rlast-weka.filters.unsupervised.attribute.PKIDiscretize-Rlast-weka.filters.unsupervised.attribute.MergeTwoValues-C14-Ffirst-S2-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank_stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute credit {good,bad}
@attribute ageDisc5 {'\'(-inf-28.333333]\'','\'(28.333333-37.666667]\'','\'(37.666667-47]\'','\'(47-56.333333]\'','\'(56.333333-65.666667]\'','\'(65.666667-inf)\''}
@attribute ageDisc9 {'\'(-inf-24.6]\'','\'(24.6-30.2]\'','\'(30.2-35.8]\'','\'(35.8-41.4]\'','\'(41.4-47]\'','\'(47-52.6]\'','\'(52.6-58.2]\'','\'(58.2-63.8]\'','\'(63.8-69.4]\'','\'(69.4-inf)\''}
@attribute ageDisc19 {'\'(-inf-21.8]\'','\'(21.8-24.6]\'','\'(24.6-27.4]\'','\'(27.4-30.2]\'','\'(30.2-33]\'','\'(33-35.8]\'','\'(35.8-38.6]\'','\'(38.6-41.4]\'','\'(41.4-44.2]\'','\'(44.2-47]\'','\'(47-49.8]\'','\'(49.8-52.6]\'','\'(52.6-55.4]\'','\'(55.4-58.2]\'','\'(58.2-61]\'','\'(61-63.8]\'','\'(63.8-66.6]\'','\'(66.6-69.4]\'','\'(69.4-72.2]\'','\'(72.2-inf)\''}
@attribute ageDiscPKIDiscretize {'\'(-inf-21.5]\'','\'(21.5-22.5]\'','\'(22.5-23.5]\'','\'(23.5-24.5]\'','\'(24.5-25.5]\'','\'(25.5-26.5]\'','\'(26.5-27.5]\'','\'(27.5-28.5]\'','\'(28.5-29.5]\'','\'(29.5-30.5]\'','\'(30.5-31.5]\'','\'(31.5-32.5]\'','\'(32.5-33.5]\'','\'(33.5-34.5]\'','\'(34.5-35.5]\'','\'(35.5-36.5]\'','\'(36.5-37.5]\'','\'(37.5-38.5]\'','\'(38.5-39.5]\'','\'(39.5-40.5]\'','\'(40.5-41.5]\'','\'(41.5-42.5]\'','\'(42.5-44.5]\'','\'(44.5-46.5]\'','\'(46.5-48.5]\'','\'(48.5-50.5]\'','\'(50.5-53.5]\'','\'(53.5-56.5]\'','\'(56.5-60.5]\'','\'(60.5-64.5]\'','\'(64.5-inf)\''}

@data
'no checking',0.294118,'critical/other existing credit',0.119621,'no known savings',1,'male single',none,1,'life insurance',0.607143,none,own,0.333333,skilled,0,none,yes,good,'\'(47-56.333333]\'','\'(52.6-58.2]\'','\'(52.6-55.4]\'','\'(50.5-53.5]\''
<0,0.382353,'no credits/all paid',0.430395,'no known savings',0.333333,'male single',none,0.666667,car,0.107143,bank_stores,own,0.666667,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
0<=X<200,0.294118,'existing paid',0.678387,<100,1,'female div/dep/mar',none,0.333333,'no known property',0.446429,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,bad,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
'no checking',0.294118,'existing paid',0.174975,500<=X<1000,0.666667,'male single',none,0.333333,car,0.214286,none,own,0,skilled,1,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
'no checking',0.073529,'critical/other existing credit',0.103665,<100,1,'male single',none,1,car,0.517857,none,own,0.666667,skilled,0,yes,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(47-49.8]\'','\'(46.5-48.5]\''
<0,0.029412,'existing paid',0.131892,500<=X<1000,0.333333,'male single',none,0.666667,'real estate',0.446429,none,rent,0,skilled,1,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
<0,0.088235,'critical/other existing credit',0.109552,<100,0,'male single',none,0.666667,'real estate',0.517857,none,rent,0.333333,'unskilled resident',1,none,no,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(47-49.8]\'','\'(46.5-48.5]\''
0<=X<200,0.117647,'critical/other existing credit',0.085507,100<=X<500,0.666667,'male single',none,1,'life insurance',0.446429,none,own,0,skilled,0,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
'no checking',0.088235,'critical/other existing credit',0.100088,'no known savings',0.333333,'male mar/wid',none,0,car,0.125,none,own,0.333333,skilled,0,none,no,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
<0,0.029412,'existing paid',0.061847,<100,0,'male single',none,0.333333,'real estate',0.303571,bank_stores,own,0,'unskilled resident',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(35.5-36.5]\''
'no checking',0.029412,'no credits/all paid',0.009684,<100,1,'male mar/wid',none,1,car,0.357143,none,own,0,'unskilled resident',0,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(38.5-39.5]\''
>=200,0.117647,'all paid',0.008749,>=1000,0.666667,'female div/dep/mar',none,0.666667,'real estate',0.410714,none,rent,0.333333,skilled,0,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(41.5-42.5]\''
0<=X<200,0.044118,'existing paid',0.119126,<100,0.666667,'male single',guarantor,0.333333,'real estate',0.267857,none,own,0,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(33.5-34.5]\''
<0,0.823529,'delayed previously',0.362386,<100,0.666667,'male single',none,1,'no known property',0.785714,none,own,0.333333,skilled,0,yes,yes,bad,'\'(56.333333-65.666667]\'','\'(58.2-63.8]\'','\'(61-63.8]\'','\'(60.5-64.5]\''
0<=X<200,0.205882,'existing paid',0.091504,>=1000,0.666667,'male mar/wid',none,0.666667,'real estate',0.303571,bank_stores,own,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(35.5-36.5]\''
<0,0.294118,'existing paid',0.207439,<100,0.333333,'male single',none,0.333333,car,0.142857,bank_stores,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
0<=X<200,0.205882,'existing paid',0.309013,100<=X<500,0.333333,'male single',none,0.333333,car,0.196429,none,own,0.333333,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(29.5-30.5]\''
'no checking',0.117647,'critical/other existing credit',0.055794,'no known savings',1,'male single',none,1,'no known property',0.678571,none,rent,0,'unskilled resident',0,none,yes,good,'\'(56.333333-65.666667]\'','\'(52.6-58.2]\'','\'(55.4-58.2]\'','\'(56.5-60.5]\''
>=200,0.117647,'existing paid',0.067349,<100,1,'female div/dep/mar',none,0,'life insurance',0.25,bank_stores,own,0,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(32.5-33.5]\''
0<=X<200,0.602941,'critical/other existing credit',0.247386,<100,1,'male single',none,0.333333,'life insurance',0.107143,none,own,0.333333,'unskilled resident',0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
'no checking',0.647059,'critical/other existing credit',0.322439,<100,0,'male single',none,0.666667,'no known property',0.214286,bank_stores,'for free',0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
>=200,0.205882,'existing paid',0.101794,<100,1,'male single','co applicant',0.333333,'real estate',0.321429,bank_stores,own,0,skilled,0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(36.5-37.5]\''
>=200,0.088235,'existing paid',0.053648,<100,0.333333,'male single',none,0.333333,car,0.321429,none,own,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(36.5-37.5]\''
0<=X<200,0.073529,'existing paid',0.011445,<100,1,'male single',none,0.666667,'real estate',0.089286,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
'no checking',0.382353,'existing paid',0.114614,500<=X<1000,1,'male single',none,0.333333,car,0.196429,bank_stores,own,0,'high qualif/self emp/mgmt',0,none,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(29.5-30.5]\''
0<=X<200,0.117647,'existing paid',0.049961,500<=X<1000,0.666667,'male div/sep',none,0,car,0.125,none,own,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
0<=X<200,0.205882,'delayed previously',0.327611,<100,0.333333,'male single',none,1,'real estate',0.446429,none,own,0,'unskilled resident',1,yes,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
<0,0.382353,'critical/other existing credit',0.326675,100<=X<500,0,'male mar/wid',none,1,car,0.089286,none,rent,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
<0,0.647059,'critical/other existing credit',0.324254,<100,1,'female div/dep/mar',none,1,'no known property',0.696429,bank_stores,'for free',0.333333,'unskilled resident',0,none,yes,bad,'\'(56.333333-65.666667]\'','\'(52.6-58.2]\'','\'(55.4-58.2]\'','\'(56.5-60.5]\''
'no checking',0.102941,'critical/other existing credit',0.062892,<100,1,'female div/dep/mar',none,1,car,0.285714,none,own,0.333333,'high qualif/self emp/mgmt',0,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
'no checking',0.470588,'existing paid',0.112743,500<=X<1000,1,'male single',none,1,car,0.357143,none,own,0,skilled,0,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(38.5-39.5]\''
<0,0.029412,'existing paid',0.060636,500<=X<1000,0,'female div/dep/mar',none,0.333333,'life insurance',0.071429,none,rent,0,'unemp/unskilled non res',0,yes,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
'no checking',0.102941,'critical/other existing credit',0.383955,<100,0,'male single',none,1,'life insurance',0.357143,none,own,0.333333,'unskilled resident',0,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(38.5-39.5]\''
'no checking',0.117647,'existing paid',0.100308,100<=X<500,1,'female div/dep/mar','co applicant',0.333333,'real estate',0.160714,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(27.5-28.5]\''
0<=X<200,0.294118,'delayed previously',0.114614,'no known savings',1,'male single',none,0.333333,'life insurance',0.178571,bank_stores,own,0,'unskilled resident',0,none,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(28.5-29.5]\''
0<=X<200,0.338235,'delayed previously',0.31446,<100,0,'male single',none,0.333333,car,0.196429,none,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(29.5-30.5]\''
'no checking',0.117647,'existing paid',0.055684,<100,0.666667,'male single',none,0.333333,car,0.107143,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
'no checking',0.205882,'existing paid',0.172114,'no known savings',0.333333,'male single',none,0,'life insurance',0.214286,none,own,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
0<=X<200,0.470588,'delayed previously',0.108672,<100,1,'male single',none,1,'no known property',0.678571,bank_stores,'for free',0.333333,skilled,0,yes,yes,bad,'\'(56.333333-65.666667]\'','\'(52.6-58.2]\'','\'(55.4-58.2]\'','\'(56.5-60.5]\''
'no checking',0.029412,'all paid',0.029328,'no known savings',0,'male single',guarantor,0.333333,'real estate',0.125,bank_stores,own,0,'unskilled resident',1,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
0<=X<200,0.117647,'existing paid',0.342137,'no known savings',0.333333,'male single',none,0,'no known property',0.589286,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(50.5-53.5]\''
'no checking',0.470588,'critical/other existing credit',0.5126,<100,0.333333,'female div/dep/mar',none,0.333333,car,0.214286,bank_stores,own,0.333333,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
>=200,0.205882,'existing paid',0.094145,<100,0.666667,'female div/dep/mar',none,0.333333,car,0.071429,none,own,0,'high qualif/self emp/mgmt',0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
<0,0.470588,'critical/other existing credit',0.328986,<100,1,'female div/dep/mar','co applicant',1,'no known property',0.071429,none,rent,0.333333,'unskilled resident',0,yes,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
0<=X<200,0.073529,'existing paid',0.062782,<100,0.333333,'male mar/wid',none,0,'real estate',0.142857,bank_stores,own,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
0<=X<200,0.161765,'critical/other existing credit',0.070815,'no known savings',1,'male single',guarantor,1,'real estate',0.553571,none,own,0.333333,skilled,0,yes,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(48.5-50.5]\''
0<=X<200,0.470588,'no credits/all paid',0.093705,<100,1,'male single',none,1,'no known property',0.75,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,bad,'\'(56.333333-65.666667]\'','\'(58.2-63.8]\'','\'(58.2-61]\'','\'(60.5-64.5]\''
0<=X<200,0.647059,'no credits/all paid',0.77974,<100,0.333333,'male single',none,0.333333,car,0.107143,none,own,0,skilled,0,yes,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
'no checking',0.294118,'existing paid',0.161274,<100,1,'female div/dep/mar',none,1,'life insurance',0.125,none,own,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
'no checking',0.338235,'existing paid',0.271817,'no known savings',1,'male single',none,1,'life insurance',0.517857,none,own,1,skilled,1,yes,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(47-49.8]\'','\'(46.5-48.5]\''
'no checking',0.117647,'existing paid',0.1057,<100,0.333333,'female div/dep/mar',none,0.333333,car,0.178571,bank_stores,own,0,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(28.5-29.5]\''
0<=X<200,0.117647,'existing paid',0.041653,>=1000,1,'male mar/wid',none,0,'real estate',0.053571,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(21.5-22.5]\''
'no checking',0.470588,'existing paid',0.086332,<100,1,'male single',none,1,'no known property',0.321429,bank_stores,'for free',0,skilled,0,yes,yes,bad,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(36.5-37.5]\''
'no checking',0.470588,'existing paid',0.117971,'no known savings',1,'female div/dep/mar',none,1,car,0.107143,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
'no checking',0.470588,'existing paid',0.433752,<100,0,'female div/dep/mar',none,0.333333,'life insurance',0.196429,bank_stores,own,0,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(29.5-30.5]\''
'no checking',0.044118,'critical/other existing credit',0.026411,'no known savings',1,'male single',none,0.333333,'life insurance',0.482143,none,rent,0.333333,'unskilled resident',0,yes,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(44.2-47]\'','\'(44.5-46.5]\''
<0,0.058824,'critical/other existing credit',0.050292,<100,0.666667,'male single',none,1,'no known property',0.571429,bank_stores,'for free',0.333333,'high qualif/self emp/mgmt',1,yes,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(50.5-53.5]\''
0<=X<200,0.558824,'critical/other existing credit',0.313855,<100,0.333333,'female div/dep/mar',none,0,'real estate',0.392857,bank_stores,own,0.333333,'unskilled resident',0,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(40.5-41.5]\''
